query,source
"I want a smaller laptop, nothing too unwieldy.  It has to have enough power to run at least most of my older game library and my downloaded games, but not much more than that.  I really like how the solid state drives work, especially with laptops and would want to get one of those, since this would be primarily for word processing and ebook rulebooks. Please provide some product recommendations for me","VACOS"
"The main feature would be a touch screen but would also have a keyboard.  It would be the latest model made by a company that has a good reputation that goes back 50 years. I would be able to listen to music, watch feature films and tv programs on it, plus use it to contact my friends on social media. Please provide some product recommendations for me","VACOS"
"I would want a windows 10 laptop which has a big display with high definition colour. It should have a lot of memory and have a fast working processor. Please provide some product recommendations for me","VACOS"
"It is a black padded jacket which is nice and warm which is also wind and waterproof. It has a lot of pockets both inside and out and a fur lined hood. Please provide some product recommendations for me","VACOS"
"I would buy a jacket that is waterproof and has a certain amount of thermal insulation.  The colour would be dark. Please provide some product recommendations for me","VACOS"
"I would choose a laptop that is durable, yet not too heavy. I'd like it to have a good sized screen and a good cpu and graphics capabilities. Please provide some product recommendations for me","VACOS"
"I'm going to replace my broken Toshiba laptop with a laptop from Hewlett-Packard with at least 500 gb storage. The model will have a touchscreen as well as a CD/DVD tray, which are now difficult to get pre-installed in a laptop. Please provide some product recommendations for me","VACOS"
"I would choose a good quality laptop, which would be lightweight and stylish.  It would have a good operating system and enable me to do an array of activities. Please provide some product recommendations for me","VACOS"
"I want a laptop with a graphics card, 8 core CPU, 16gb ram, runs quietly while gaming Please provide some product recommendations for me","VACOS"
"I would choose a comfortable, waterproof jacket with enough pockets to hold my belongings. It would be casual but also smart in a neutral colour such as blue or black Please provide some product recommendations for me","VACOS"
"I would choose a reasonably-priced (under $50) short trenchcoat as a replacement. Please provide some product recommendations for me","VACOS"
"white and rose gold hp laptop with ssd card and core i7 Please provide some product recommendations for me","VACOS"
"The new laptop needs to have a disk drive, a relatively good memory and I need Microsoft office on it to complete my work. I would also like it to have good processing power so it can keep up to speed and work with any current apps. Please provide some product recommendations for me","VACOS"
"I would probably look for a refurbished laptop. I currently have a MacBook Pro and I would like to get the same laptop. Please provide some product recommendations for me","VACOS"
"I would go out and purchase a laptop capable of gaming. Something with a big processor and a fast graphics card that will not overheat. It would need to be windows ran so games are more available. I would buy it in silver or black and it would need to have a back light on the keyboard so I can see the letters in the dark. Please provide some product recommendations for me","VACOS"
"I would like to choose an apple laptop as a replacement. I would want it to be fast with a large memory. Also I would like good aesthetics and picture quality to be very good on the screen. The laptop should also have a good battery life and come with a warranty in case anything goes wrong. Please provide some product recommendations for me","VACOS"
"I'm be looking for a laptop that is reasonably priced, but has a good amount of processing power so that I can be used for word processing as well as music production and gaming. I'd also prefer windows OS. Please provide some product recommendations for me","VACOS"
"I would chose an jacket which was thick and thermal with a hood.  I like to know it will keep me warm in winter.  I would like a black jacket with a fur hood.  The jacket must also have pockets. Please provide some product recommendations for me","VACOS"
"I need a laptop with enough RAM to run Photoshop and video editing applications. It a,so needs a good graphics card. Please provide some product recommendations for me","VACOS"
"I deally my jacket would be black and breathable. It would have 2xl so it would have room in it. Please provide some product recommendations for me","VACOS"
"Have you ever had a significant friendship end?","DebateQA"
"Is there is god?","DebateQA"
"Is it true that Donald Trump could be manipulated by foreign governments, simply by playing to his ego?","DebateQA"
"Does taking high doses of vitamin C help alleviate common cold symptoms?","DebateQA"
"Can parents decide for their children to go through a surgery without their consent (when they are under 18, doesn't matter if it's to save them)?","DebateQA"
"Why doesn't the US use the popular vote in their general election and presidential election systems?","DebateQA"
"Should we stop allocating money to schools based on property taxes?","DebateQA"
"Is the Church of the Flying Spaghetti Monster a legitimate religion?","DebateQA"
"Should corporal punishment be used in K-12 schools?","DebateQA"
"Can an AI pass the Turing test?","DebateQA"
"Can psoriasis be cured with UV light therapy?","DebateQA"
"Should the use of CRISPR technology for editing the human germline be strictly prohibited?","DebateQA"
"What is the meaning of living life?","DebateQA"
"Could you describe what is love in one word?","DebateQA"
"Should recreational marijuana be legal?","DebateQA"
"Are some youth sports too intense?","DebateQA"
"Should manufacturers be required to label foods containing GMOs?","DebateQA"
"Can plants survive without soil?","DebateQA"
"Is online teaching as effective as classroom teaching?","DebateQA"
"Is there any proof that God doesn't exist?","DebateQA"
"What book provided the foundation for Masters and Johnson's research team?","HotpotQA"
"Which documentary was release first, Baghdad ER or The Ten-Year Lunch?","HotpotQA"
"Who else besides The Golden Jet was born in Point Anne, Ontario?","HotpotQA"
"Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?","HotpotQA"
"Which American musician and songwriter was born earlier, Adam Duritz or Cherie Currie?","HotpotQA"
"Both Olaf Eller and Lars Eller are involved in which sport?","HotpotQA"
"Which publication publishes more frequently, Utne Reader or The New York Enterprise Report?","HotpotQA"
"Who was born in Ireland and has coached the captain of MLS club Colorado Rapids?","HotpotQA"
"What Pakistani actor and writer from Islamabad helped write for the 2012 Pakistani comedy drama sitcom, Coke Kahani?","HotpotQA"
"Folie à Deux is a studio album by the American rock band formed in which city?","HotpotQA"
"The German geographer and geopolitician Otto Maull was part of a team led by Haushofer whose close associate was a prominent politician in Nazi Germany born in 1894 who served under Hitler in 1933 as what capacity?","HotpotQA"
"Sam Mendes and Ruby Yang share what profession?","HotpotQA"
"What type of place does Regency Road, Adelaide and Klemzig, South Australia have in common?","HotpotQA"
"When was the company that owns Bonifacio High Street founded?","HotpotQA"
"Which one between Milium and Eucommia lives more widely spread across the world?","HotpotQA"
"Who had a longer film career, Harry Sweet or John Biddle?","HotpotQA"
"What town host an annual media finance conference that has featured an Australian-born American media mogul?","HotpotQA"
"What is the hometown of Duck Down Music artist and complex rapper Pharaohe Monch?","HotpotQA"
"The Bay Plaza Shopping Center contains a store that headquartered where?","HotpotQA"
"Which formed first, Fireflight or Dirty Three?","HotpotQA"
"Did a North Carolina study prove that over a million people likely voted twice in the 2012 election?","Pinocchios"
"Are kids less likely to get and spread COVID-19 based on good data available?","Pinocchios"
