query,source
"Autumn coloured, light, ladies' leather jacket; sharp cut with a slight waist; falls just below the hip; discreet pockets, buttons, zippers (cannot be seen). Please provide some product recommendations for me","VACOS"
"I would choose a Dell laptop with plenty of memory and a newer model because they're faster Please provide some product recommendations for me","VACOS"
"I would order the newest macbook pro and probably get a pink laptop case to match. Please provide some product recommendations for me","VACOS"
"I would buy something light and wind proof that is long enough to cover my bum! Please provide some product recommendations for me","VACOS"
"I would buy a dell laptop, i would go to there website and customize it to my needs with boosted ram and bigger storage. Please provide some product recommendations for me","VACOS"
"Apple MacBook Pro with as high a spec as I could afford Please provide some product recommendations for me","VACOS"
"Decent screen size with an excellent battery life. I need a full number pad because I need that when I work from home. It will need a discreet graphics card instead of an integrated GPU with a decent size SSD. The resolution will also need to be 1080p. Some other things I would look for would be blu-tooth and built in wifi adapter. Please provide some product recommendations for me","VACOS"
"It would be a windows laptop not an Apple Mac. It'll be the laptop that is issued by work, probably black Dell laptop. Might be second hand might be brand new, depends what the IT department has available. Please provide some product recommendations for me","VACOS"
"patagonia sweater jacket, it would be biodegradable, fairly made, and good quality. Please provide some product recommendations for me","VACOS"
"I'd like to get a Microsoft Surface laptop. It runs Windows 10 and has a solid state drive so it loads very quickly. It's also surprisingly light for how powerful it is so it fits in my backpack easily. Please provide some product recommendations for me","VACOS"
"A light jacket, quilted looking, dark blue and with a zipper Please provide some product recommendations for me","VACOS"
"It will be warm without being too heavy. It has pockets on bith sides and is easily machine washable. It is avaialable in a multi selection of colours and is also waterproof. Please provide some product recommendations for me","VACOS"
"I need a new warm jacket because I have lost mine. I would like one similar, with a flowery pattern and nice and warm because it gets cold here. I would probably need a cheaper one though because my current one was a present and I can't afford a new one at the same price. Please provide some product recommendations for me","VACOS"
"I would choose an ASUS laptop with a solid state hard drive and 15.6 screen. Please provide some product recommendations for me","VACOS"
"I would be looking for a waterproof jacket, preferably breathable.  It would have to be in a bright cheerful colour with a warm lining. Please provide some product recommendations for me","VACOS"
"I'm looking for a jacket that is lightweight, warm and waterproof. Comfort is my main goal as is it being reasonably priced. Preferably purple too! Please provide some product recommendations for me","VACOS"
"I would buy a lightweight laptop that ran on microsoft not apple as its easier for work. I'd not consider a hybrid or 2 in 1 type of device as I dont believe they are as robust Please provide some product recommendations for me","VACOS"
"I would buy an apple mac book air as they are light fast and easy to use Please provide some product recommendations for me","VACOS"
"I would want it to be relatively cheap lightweight and fast Please provide some product recommendations for me","VACOS"
"I'm just looking for a functional PC with a high amount of RAM and a newer processor with great performance. Everything else is secondary. Please provide some product recommendations for me","VACOS"
"A dark grey apple macbook pro. Probably with a retina screen for photo editing. Please provide some product recommendations for me","VACOS"
"If I were to wear a replacement jacket I would need to examine what the weather conditions were outside. If it were winter I would want to ensure that it has proper insulation and a decent length. My current favourite coat for winter goes down to my knees, so I would look for a replacement of that length. As well I would like a fur lined hood, and pockets both on the interior and exterior of the jacket. Please provide some product recommendations for me","VACOS"
"something simple, not too flashy or colourful, not an expensive brand Please provide some product recommendations for me","VACOS"
"I would like to get a new gaming laptop. I'm not knowledgeable enough to go into the specific specs, but it should have one of the highest tier of graphics cards. I would like it to be wide screened. Black, or  maybe a fun colour depending what is available.I prefer a wider screen. The keyboard should have the keys that are a little bit more flat as opposed to the raised, boxier keys. A webcam would be nice but optional. It should definitely have the proper plugin for my headset. Please provide some product recommendations for me","VACOS"
"I'd like to find a wool jacket which will be warm enough to wear through the winter. Preferably in black or grey with buttons. Something fairly smart. Please provide some product recommendations for me","VACOS"
"I would choose an expensive gaming laptop of some form, with a fast 1TB SSD, good battery life, light to carry around and use on your lap and lastly one that is balanced in both CPU and GPU performance. Please provide some product recommendations for me","VACOS"
"An All Saints black leather jacket, the classic soft leather design Please provide some product recommendations for me","VACOS"
"I'm looking for a warm, simple everyday jacket that is waterproof. I would like it to be grey or blue. It should work for city life, and be short. I should have a hood. Please provide some product recommendations for me","VACOS"
"I would a jacket that is navy in colour, waterproof that also is wind resistant, and has a hood. Just something that is practical for everyday. Please provide some product recommendations for me","VACOS"
"A jacket that I can use for the upcoming summer months so it would not be too thick but have a hood incase it rains Please provide some product recommendations for me","VACOS"
"I would buy another Lenovo laptop with at least a 22 screen and an Intel Core i7 processor. I'd ideally like it to have a decent graphics card, preferably Nvidia and a seperate numerical keyboard. I'd probably opt for a black one. Please provide some product recommendations for me","VACOS"
